id,type,name,classification
45645018,barangay,Janagdong 1,rural
45645019,barangay,Janagdong 2,rural
45645020,barangay,Limbon,rural
45645021,barangay,Lutucan Bata,rural
45645022,barangay,Lutucan Malabag,rural
45645023,barangay,Lutucan 1,rural
45645024,barangay,Mamala I,rural
45645025,barangay,Manggalang 1,rural
45645026,barangay,Manggalang Tulo-tulo,rural
45645027,barangay,Manggalang-Bantilan,rural
45645028,barangay,Manggalang-Kiling,rural
45645029,barangay,Montecillo,rural
45645030,barangay,Morong,rural
45645032,barangay,Pili,rural
45645033,barangay,Barangay 2 (Pob.),urban
45645034,barangay,Barangay 3 (Pob.),urban
45645035,barangay,Barangay 4 (Pob.),urban
45645036,barangay,Barangay 5 (Pob.),urban
45645037,barangay,Barangay 6 (Pob.),urban
45645038,barangay,Sampaloc Bogon,rural
45645039,barangay,Sampaloc 1,rural
45645040,barangay,Sampaloc 2,rural
45645041,barangay,Sampaloc Santo Cristo,rural
45645042,barangay,Talaan Aplaya,rural
45645043,barangay,Talaanpantoc,rural
45645044,barangay,Tumbaga 1,rural
45645045,barangay,Tumbaga 2,rural
45645046,barangay,Barangay 1 (Pob.),urban
45645047,barangay,Mamala II,rural
45646000,municipality,Tagkawayan,
45646001,barangay,Aldavoc,urban
45646002,barangay,Aliji,rural
45646003,barangay,Bagong Silang,rural
45646004,barangay,Bamban,rural
45646005,barangay,Bosigon,rural
45646006,barangay,Bukal,rural
45646007,barangay,Cabugwang,rural
45646008,barangay,Cagascas,rural
45646009,barangay,Casispalan,rural
45646010,barangay,Colong-colong,rural
45646011,barangay,Del Rosario,rural
45646012,barangay,Cabibihan,rural
45646013,barangay,Candalapdap,rural
45646014,barangay,Katimo,rural
45646015,barangay,Kinatakutan,rural
45646016,barangay,Landing,rural
45646017,barangay,Laurel,rural
45646018,barangay,Magsaysay,rural
45646019,barangay,Maguibuay,rural
45646020,barangay,Mahinta,rural
45646021,barangay,Malbog,rural
45646022,barangay,Manato Central,rural
45646023,barangay,Manato Station,rural
45646024,barangay,Mangayao,rural
45646025,barangay,Mansilay,rural
45646026,barangay,Mapulot,rural
45646027,barangay,Munting Parang,rural
45646028,barangay,Payapa,rural
45646029,barangay,Poblacion,urban
45646030,barangay,Rizal,rural
45646031,barangay,Sabang,rural
45646032,barangay,San Diego,rural
45646033,barangay,San Francisco,rural
45646034,barangay,San Isidro,rural
45646035,barangay,San Roque,rural
45646036,barangay,San Vicente,rural
45646037,barangay,Santa Cecilia,urban
45646038,barangay,Santa Monica,rural
45646039,barangay,Santo Niño I,rural
45646040,barangay,Santo Niño II,rural
45646041,barangay,Santo Tomas,rural
45646042,barangay,Seguiwan,rural
45646043,barangay,Tabason,rural
45646044,barangay,Tunton,rural
45646045,barangay,Victoria,rural
45647000,municipality,City Of Tayabas,
45647001,barangay,Alitao,rural
45647002,barangay,Alupay,rural
45647003,barangay,Angeles Zone I (Pob.),urban
45647004,barangay,Angeles Zone II,rural
45647005,barangay,Angeles Zone III,rural
45647006,barangay,Angeles Zone IV,rural
45647007,barangay,Angustias Zone I (Pob.),rural
45647008,barangay,Angustias Zone II,rural
45647009,barangay,Angustias Zone III,rural
45647010,barangay,Angustias Zone IV,urban
45647011,barangay,Anos,rural
45647012,barangay,Ayaas,rural
45647013,barangay,Baguio,rural
45647014,barangay,Banilad,rural
45647015,barangay,Calantas,rural
45647016,barangay,Camaysa,rural
45647017,barangay,Dapdap,rural
45647018,barangay,Gibanga,rural
45647019,barangay,Alsam Ibaba,rural
45647020,barangay,Bukal Ibaba,rural
45647021,barangay,Ilasan Ibaba,rural
45647022,barangay,Nangka Ibaba,rural
45647023,barangay,Palale Ibaba,rural
45647024,barangay,Ibas,rural
45647025,barangay,Alsam Ilaya,rural
45647026,barangay,Bukal Ilaya,rural
45647027,barangay,Ilasan Ilaya,rural
45647028,barangay,Nangka Ilaya,rural
45647029,barangay,Palale Ilaya,rural
45647030,barangay,Ipilan,rural
45647031,barangay,Isabang,rural
45647032,barangay,Calumpang,rural
45647033,barangay,Domoit Kanluran,rural
45647034,barangay,Katigan Kanluran,rural
45647035,barangay,Palale Kanluran,rural
45647036,barangay,Lakawan,rural
45647037,barangay,Lalo,rural
45647038,barangay,Lawigue,rural
45647039,barangay,Lita (Pob.),rural
45647040,barangay,Malaoa,rural
45647041,barangay,Masin,rural
45647042,barangay,Mate,rural
45647043,barangay,Mateuna,rural
45647044,barangay,Mayowe,rural
45647045,barangay,Opias,rural
45647046,barangay,Pandakaki,rural
45647047,barangay,Pook,rural
45647048,barangay,Potol,rural
45647049,barangay,San Diego Zone I (Pob.),urban
45647050,barangay,San Diego Zone II,rural
45647051,barangay,San Diego Zone III,urban
45647052,barangay,San Diego Zone IV,urban
45647053,barangay,San Isidro Zone I (Pob.),rural
45647054,barangay,San Isidro Zone II,rural
45647055,barangay,San Isidro Zone III,rural
45647056,barangay,San Isidro Zone IV,urban
45647057,barangay,San Roque Zone I (Pob.),urban
45647058,barangay,San Roque Zone II,urban
45647059,barangay,Domoit Silangan,rural
45647060,barangay,Katigan Silangan,rural
45647061,barangay,Palale Silangan,rural
45647062,barangay,Talolong,rural
45647063,barangay,Tamlong,rural
45647064,barangay,Tongko,rural
45647065,barangay,Valencia,rural
45647066,barangay,Wakas,rural
45648000,municipality,Tiaong,
45648001,barangay,Anastacia (Tagbak),rural
45648002,barangay,Ayusan I,rural
45648003,barangay,Barangay I (Pob.),rural
45648004,barangay,Barangay II (Pob.),rural
45648005,barangay,Barangay III (Pob.),urban
45648006,barangay,Barangay IV (Pob.),rural
45648007,barangay,Behia,rural
45648008,barangay,Bukal,rural
45648009,barangay,Bula,rural
45648010,barangay,Bulakin,rural
45648011,barangay,Cabatang,rural
45648012,barangay,Cabay,rural
45648013,barangay,Del Rosario,rural
45648014,barangay,Lagalag,rural
45648015,barangay,Lalig,rural
45648016,barangay,Lumingon,rural
45648017,barangay,Lusacan,rural
45648018,barangay,Paiisa,rural
45648019,barangay,Palagaran,rural
45648021,barangay,Quipot,rural
45648022,barangay,San Agustin,rural
45648023,barangay,San Isidro,rural
45648024,barangay,San Jose,rural
45648025,barangay,San Juan,rural
45648026,barangay,San Pedro,rural
45648027,barangay,Tagbakin,rural
45648028,barangay,Talisay,rural
45648029,barangay,Tamisian,rural
45648030,barangay,San Francisco,rural
45648031,barangay,Aquino,rural
45648032,barangay,Ayusan II,rural
45649000,municipality,Unisan,
45649001,barangay,Almacen,rural
45649002,barangay,Balagtas,rural
45649003,barangay,Balanacan,rural
45649005,barangay,Bulo Ibaba,rural
45649006,barangay,Bulo Ilaya,rural
45649007,barangay,Bonifacio,rural
45649008,barangay,Burgos,rural
45649009,barangay,Caigdal,rural
45649010,barangay,General Luna,rural
45649011,barangay,Kalilayan Ibaba,rural
45649012,barangay,Cabulihan Ibaba,rural
45649013,barangay,Mairok Ibaba,rural
45649014,barangay,Kalilayan Ilaya,rural
45649015,barangay,Cabulihan Ilaya,rural
45649016,barangay,Mabini,rural
45649017,barangay,Mairok Ilaya,rural
45649018,barangay,Malvar,rural
45649019,barangay,Maputat,rural
45649020,barangay,Muliguin,rural
45649021,barangay,Pagaguasan,rural
45649022,barangay,Panaon Ibaba,rural
45649023,barangay,Panaon Ilaya,rural
45649024,barangay,Plaridel,rural
45649025,barangay,F. De Jesus (Pob.),urban
45649026,barangay,R. Lapu-lapu (Pob.),urban
45649027,barangay,Raja Soliman (Pob.),rural
45649028,barangay,R. Magsaysay (Pob.),rural
45649029,barangay,Poctol,rural
45649030,barangay,Punta,rural
45649031,barangay,Rizal Ibaba,rural
45649032,barangay,Rizal Ilaya,rural
45649033,barangay,San Roque,rural
45649034,barangay,Socorro,rural
45649035,barangay,Tagumpay,rural
45649036,barangay,Tubas,rural
45649037,barangay,Tubigan,rural
45800000,province,Rizal,
45801000,municipality,Angono,
45801001,barangay,Bagumbayan,urban
45801005,barangay,Kalayaan,urban
45801007,barangay,Poblacion Ibaba,urban
45801008,barangay,Poblacion Itaas,urban
45801009,barangay,San Isidro,urban
45801010,barangay,San Pedro,urban
45801011,barangay,San Roque,urban
45801012,barangay,San Vicente,urban
45801013,barangay,Santo Niño,urban
45801014,barangay,Mahabang Parang,urban
45802000,municipality,City Of Antipolo,
45802001,barangay,Calawis,urban
45802002,barangay,Cupang,urban
45802003,barangay,Dela Paz (Pob.),urban
45802004,barangay,Mayamot,urban
45802007,barangay,San Isidro (Pob.),urban
45802008,barangay,San Jose (Pob.),urban
45802009,barangay,San Roque (Pob.),urban
45802010,barangay,Mambugan,urban
45802011,barangay,Bagong Nayon,urban
45802012,barangay,Beverly Hills,urban
45802013,barangay,Dalig,urban
45802014,barangay,Inarawan,urban
45802015,barangay,San Juan,urban
45802016,barangay,San Luis,urban
45802017,barangay,Santa Cruz,urban
45802018,barangay,Muntingdilaw,urban
45803000,municipality,Baras,
45803001,barangay,Evangelista,rural
45803002,barangay,Rizal (Pob.),rural
45803003,barangay,San Jose,rural
45803004,barangay,San Salvador,rural
45803005,barangay,Santiago,rural
45803006,barangay,Concepcion,urban
45803007,barangay,San Juan,rural
45803008,barangay,San Miguel,urban
45803009,barangay,Mabini,rural
45803010,barangay,Pinugay,rural
45804000,municipality,Binangonan,
45804001,barangay,Bangad,urban
45804002,barangay,Batingan,urban
45804003,barangay,Bilibiran,urban
45804004,barangay,Binitagan,urban
45804005,barangay,Bombong,urban
45804006,barangay,Buhangin,urban
45804007,barangay,Calumpang,urban
45804009,barangay,Ginoong Sanay,urban
45804010,barangay,Gulod,urban
45804011,barangay,Habagatan,urban
45804012,barangay,Ithan,urban
45804013,barangay,Janosa,urban
45804014,barangay,Kalawaan,urban
45804015,barangay,Kalinawan,urban
45804016,barangay,Kasile,urban
45804017,barangay,Kaytome,urban
45804018,barangay,Kinaboogan,urban
45804019,barangay,Kinagatan,urban
45804020,barangay,Libis (Pob.),urban
45804021,barangay,Limbon-limbon,urban
45804022,barangay,Lunsad,urban
45804023,barangay,Mahabang Parang,urban
45804024,barangay,Macamot,urban
45804025,barangay,Mambog,urban
45804026,barangay,Palangoy,urban
45804027,barangay,Pantok,urban
45804028,barangay,Pila Pila,urban
45804029,barangay,Pinagdilawan,urban
45804030,barangay,Pipindan,urban
45804031,barangay,Rayap,urban
45804032,barangay,Sapang,urban
45804033,barangay,Tabon,urban
45804034,barangay,Tagpos,urban
45804035,barangay,Tatala,urban
45804036,barangay,Tayuman,urban
45804037,barangay,Layunan (Pob.),urban
45804038,barangay,Libid (Pob.),urban
45804039,barangay,Malakaban,urban
45804040,barangay,Pag-Asa,urban
45804041,barangay,San Carlos,rural
45805000,municipality,Cainta,
45805014,barangay,San Andres (Pob.),urban
45805015,barangay,San Isidro,urban
45805016,barangay,San Juan,urban
45805017,barangay,San Roque,urban
45805018,barangay,Santa Rosa,urban
45805019,barangay,Santo Niño,urban
45805020,barangay,Santo Domingo,urban
45806000,municipality,Cardona,
45806002,barangay,Balibago,urban
45806005,barangay,Boor,urban
45806007,barangay,Calahan,urban
45806008,barangay,Dalig,urban
45806009,barangay,Del Remedio (Pob.),urban
45806012,barangay,Iglesia (Pob.),urban
45806013,barangay,Lambac,urban
45806014,barangay,Looc,urban
45806016,barangay,Malanggam-Calubacan,urban
45806017,barangay,Nagsulo,urban
45806018,barangay,Navotas,urban
45806019,barangay,Patunhay,urban
45806022,barangay,Real (Pob.),urban
45806023,barangay,Sampad,urban
45806027,barangay,San Roque (Pob.),urban
45806030,barangay,Subay,urban
45806032,barangay,Ticulio,urban
45806033,barangay,Tuna,urban
45807000,municipality,Jala-Jala,
45807001,barangay,Bagumbong,rural
45807002,barangay,Bayugo,rural
45807004,barangay,Second District (Pob.),urban
45807005,barangay,Third District (Pob.),urban
45807007,barangay,Lubo,rural
45807008,barangay,Pagkalinawan,rural
45807009,barangay,Palaypalay,rural
45807010,barangay,Punta,rural
45807014,barangay,Sipsipin,urban
45807015,barangay,Special District (Pob.),urban
45807016,barangay,Paalaman,urban
45808000,municipality,Rodriguez (Montalban),
45808001,barangay,Balite (Pob.),urban
45808002,barangay,Burgos,urban
45808003,barangay,Geronimo,urban
45808004,barangay,Macabud,urban
45808005,barangay,Manggahan,urban
45808006,barangay,Mascap,rural
45808007,barangay,Puray,rural
45808008,barangay,Rosario,urban
45808009,barangay,San Isidro,rural
45808010,barangay,San Jose,urban
45808011,barangay,San Rafael,urban
45809000,municipality,Morong,
45809001,barangay,Bombongan,urban
45809002,barangay,Can-Cal-Lan (Caniogan-Calero-Lanang),urban
45809003,barangay,Lagundi,urban
45809004,barangay,Maybancal,urban
45809005,barangay,San Guillermo,urban
45809006,barangay,San Jose (Pob.),urban
45809007,barangay,San Juan (Pob.),urban
45809008,barangay,San Pedro (Pob.),urban
45810000,municipality,Pililla,
45810001,barangay,Bagumbayan (Pob.),urban
45810003,barangay,Halayhayin,urban
45810004,barangay,Hulo (Pob.),urban
45810005,barangay,Imatong (Pob.),urban
45810006,barangay,Malaya,urban
45810007,barangay,Niogan,urban
45810008,barangay,Quisao,urban
45810009,barangay,Wawa (Pob.),urban
45810010,barangay,Takungan (Pob.),urban
45811000,municipality,San Mateo,
45811001,barangay,Ampid I,urban
45811002,barangay,Dulong Bayan 1,urban
45811003,barangay,Dulong Bayan 2,urban
45811004,barangay,Guinayang,urban
45811005,barangay,Guitnang Bayan I (Pob.),urban
45811006,barangay,Guitnang Bayan II (Pob.),urban
45811007,barangay,Malanday,urban
45811008,barangay,Maly,urban
45811010,barangay,Santa Ana,urban
45811011,barangay,Ampid II,urban
45811012,barangay,Banaba,urban
45811013,barangay,Gulod Malaya,urban
45811014,barangay,Pintong Bocawe,urban
45811015,barangay,Santo Niño,urban
45811016,barangay,Silangan,urban
45812000,municipality,Tanay,
45812001,barangay,Cayabu,rural
45812002,barangay,Cuyambay,rural
45812003,barangay,Daraitan,rural
45812004,barangay,Katipunan-Bayan (Pob.),urban
45812005,barangay,Kaybuto (Pob.),rural
45812006,barangay,Laiban,rural
45812007,barangay,Mag-Ampon (Pob.),urban
45812008,barangay,Mamuyao,rural
45812009,barangay,Pinagkamaligan (Pob.),rural
45812011,barangay,Plaza Aldea (Pob.),urban
45812012,barangay,Sampaloc,urban
45812013,barangay,San Andres,rural
45812014,barangay,San Isidro (Pob.),rural
45812015,barangay,Santa Inez,rural
45812016,barangay,Santo Niño,rural
45812017,barangay,Tabing Ilog (Pob.),rural
45812018,barangay,Tandang Kutyo (Pob.),urban
45812019,barangay,Tinucan,rural
45812020,barangay,Wawa (Pob.),rural
45813000,municipality,Taytay,
45813001,barangay,Dolores (Pob.),urban
45813002,barangay,Muzon,urban
45813003,barangay,San Isidro,urban
45813004,barangay,San Juan,urban
45813005,barangay,Santa Ana,urban
45814000,municipality,Teresa,
45814001,barangay,Bagumbayan,urban
45814003,barangay,Dalig,urban
45814004,barangay,Dulumbayan,urban
45814005,barangay,May-Iba,urban
45814006,barangay,Poblacion,urban
45814007,barangay,Prinza,urban
45814008,barangay,San Gabriel,urban
45814009,barangay,San Roque,urban
45814010,barangay,Calumpang Santo Cristo,urban
170000000,region,Region Iv-B (Mimaropa),
174000000,province,Marinduque,
174001000,municipality,Boac (Capital),
174001001,barangay,Agot,rural
174001002,barangay,Agumaymayan,rural
174001003,barangay,Amoingon,rural
174001004,barangay,Apitong,rural
174001005,barangay,Balagasan,rural
174001006,barangay,Balaring,rural
174001007,barangay,Balimbing,rural
174001008,barangay,Balogo,rural
174001009,barangay,Bangbangalon,urban
174001010,barangay,Bamban,rural
174001011,barangay,Bantad,rural
174001012,barangay,Bantay,rural
174001013,barangay,Bayuti,rural
174001014,barangay,Binunga,rural
174001015,barangay,Boi,rural
174001016,barangay,Boton,rural
174001017,barangay,Buliasnin,rural
174001018,barangay,Bunganay,rural
174001019,barangay,Maligaya,rural
174001020,barangay,Caganhao,rural
174001021,barangay,Canat,rural
174001022,barangay,Catubugan,rural
174001023,barangay,Cawit,rural
174001024,barangay,Daig,rural
174001025,barangay,Daypay,rural
174001026,barangay,Duyay,rural
174001027,barangay,Ihatub,rural
174001028,barangay,Isok II Pob. (Kalamias),rural
174001029,barangay,Hinapulan,rural
174001030,barangay,Laylay,rural
174001031,barangay,Lupac,rural
174001032,barangay,Mahinhin,rural
174001033,barangay,Mainit,rural
174001034,barangay,Malbog,rural
174001035,barangay,Malusak (Pob.),rural
174001036,barangay,Mansiwat,rural
174001037,barangay,Mataas Na Bayan (Pob.),rural
174001038,barangay,Maybo,rural
174001039,barangay,Mercado (Pob.),rural
174001040,barangay,Murallon (Pob.),rural
174001041,barangay,Ogbac,rural
174001042,barangay,Pawa,rural
174001043,barangay,Pili,rural
174001044,barangay,Poctoy,rural
174001045,barangay,Poras,rural
174001046,barangay,Puting Buhangin,rural
174001047,barangay,Puyog,rural
174001048,barangay,Sabong,rural
174001049,barangay,San Miguel (Pob.),rural
174001050,barangay,Santol,rural
174001051,barangay,Sawi,rural
174001052,barangay,Tabi,rural
174001053,barangay,Tabigue,rural
174001054,barangay,Tagwak,rural
174001055,barangay,Tambunan,rural
174001056,barangay,Tampus (Pob.),rural
174001057,barangay,Tanza,rural
174001058,barangay,Tugos,rural
174001059,barangay,Tumagabok,rural
174001060,barangay,Tumapon,rural
174001061,barangay,Isok I (Pob.),rural
174002000,municipality,Buenavista,
174002001,barangay,Bagacay,rural
174002002,barangay,Bagtingon,rural
174002003,barangay,Bicas-bicas,rural
174002004,barangay,Caigangan,rural
174002005,barangay,Daykitin,rural
174002006,barangay,Libas,rural
174002007,barangay,Malbog,rural
174002011,barangay,Sihi,rural
174002012,barangay,Timbo (Sanggulong),rural
174002013,barangay,Tungib-Lipata,rural
174002014,barangay,Yook,rural
